date_local,ride_id,ride_name,land,samples,open_samples,pct_open,avg_wait_open,median_wait_open,p90_wait_open,max_wait,first_open_local,last_open_local
2026-08-22,8539,Jersey Devil Coaster,Thrill Rides,189,65,34.4,40.2,45.0,45.0,45,10:40,22:20
2026-08-22,3250,Jolly Roger,Family Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3916,JUSTICE LEAGUE™: Battle for METROPOLIS,Thrill Rides,189,135,71.4,16.7,20.0,30.0,45,10:40,22:20
2026-08-22,10077,Lil' Devil Coaster,Kids' Rides,189,136,72.0,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,10533,Medusa,Thrill Rides,189,141,74.6,2.5,0.0,5.0,5,10:40,22:20
2026-08-22,3253,Nitro,Thrill Rides,189,137,72.5,12.6,10.0,45.0,45,10:40,22:20
2026-08-22,15617,Porky Pig Camp Wagons,Kids' Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3257,Raja’s Rickshaws,Kids' Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,15829,Roaring Rapids,Family Rides,189,96,50.8,0.0,0.0,0.0,0,12:10,20:05
2026-08-22,3261,Runaway Train,Thrill Rides,189,2,1.1,0.0,0.0,0.0,0,10:40,10:45
2026-08-22,3274,Safari Off-Road Adventure,Kids' Rides,189,60,31.7,29.7,30.0,60.0,90,11:10,16:05
2026-08-22,3283,Saw Mill Log Flume,Kids' Rides,189,80,42.3,13.2,5.0,30.0,30,10:40,19:35
2026-08-22,15727,Scrambler,Family Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3262,Skull Mountain,Thrill Rides,189,139,73.5,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3281,Sky Zooma,Kids' Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3263,SkyScreamer,Thrill Rides,189,134,70.9,14.1,15.0,15.0,15,10:40,22:20
2026-08-22,3282,Slingshot,Thrill Rides,189,118,62.4,0.0,0.0,0.0,0,11:50,22:20
2026-08-22,15789,Storm Chaser,Kids' Rides,189,141,74.6,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3267,Super Round Up,Kids' Rides,189,115,60.8,0.0,0.0,0.0,0,10:40,22:20
2026-08-22,3266,SUPERMAN™: Ultimate Flight,Thrill Rides,189,140,74.1,23.6,30.0,30.0,60,10:40,22:20
